Size,Compression,InsertTime,InsertSize,InsertSavedTime,InsertSavedTimePercentage,Query1Time,Query1Size,Query1SavedTime,Query1SavedTimePercentage,Query2Time,Query2Size,Query2SavedTime,Query2SavedTimePercentage,Query3Time,Query3Size,Query3SavedTime,Query3SavedTimePercentage,Query4Time,Query4Size,Query4SavedTime,Query4SavedTimePercentage,Query5Time,Query5Size,Query5SavedTime,Query5SavedTimePercentage,Query6Time,Query6Size,Query6SavedTime,Query6SavedTimePercentage,Query7Time,Query7Size,Query7SavedTime,Query7SavedTimePercentage,Query8Time,Query8Size,Query8SavedTime,Query8SavedTimePercentage,TotalSavedTimePercentage
100,none,0.156921,19938,0,0,0.00422144,2,0,0,0.00127743,2,0,0,0.00106334,2,0,0,0.00136342,2,0,0,0.00102595,2,0,0,0.00093209,2,0,0,0.00101738,2,0,0,0.00473445,39876,0,0,0
100,snappy,0.0362942,19938,0.1206268,76.87,0.00134327,2,0.00287817,68.18,0.00088609,2,0.00039134,30.63,0.00094458,2,0.00011876,11.17,0.00097474,2,0.00038868,28.51,0.00093169,2,9.43E-05,9.19,0.00095475,2,-2.27E-05,-2.43,0.00122781,2,-0.00021043,-20.68,0.00214646,19938,0.00258799,54.66,73.51
100,zlib,0.0340773,19938,0.1228437,78.28,0.00126759,2,0.00295385,69.97,0.00105704,2,0.00022039,17.25,0.00107507,2,-1.17E-05,-1.1,0.00144551,2,-8.21E-05,-6.02,0.00102495,2,1.00E-06,0.1,0.00123462,2,-0.00030253,-32.46,0.00116891,2,-0.00015153,-14.89,0.0031366,19938,0.00159785,33.75,73.64
100,zstd,0.0600227,19938,0.0968983,61.75,0.00326002,2,0.00096142,22.77,0.00213449,2,-0.00085706,-67.09,0.00192775,2,-0.00086441,-81.29,0.00184168,2,-0.00047826,-35.08,0.0018844,2,-0.00085845,-83.67,0.00221091,2,-0.00127882,-137.2,0.00194323,2,-0.00092585,-91,0.00348779,19938,0.00124666,26.33,54.38
1000,none,0.0133248,205338,0,0,0.00166698,2,0,0,0.00142303,2,0,0,0.00167333,2,0,0,0.00233249,1442,0,0,0.00156949,2,0,0,0.00134074,2,0,0,0.00364683,40994,0,0,0.01135561,205338,0,0,0
1000,snappy,0.0141482,205338,-0.0008234,-6.18,0.00145753,2,0.00020945,12.56,0.00136051,2,6.25E-05,4.39,0.00135935,2,0.00031398,18.76,0.00170139,1442,0.0006311,27.06,0.00125366,2,0.00031583,20.12,0.00122077,2,0.00011997,8.95,0.00428451,40994,-0.00063768,-17.49,0.00781988,205338,0.00353573,31.14,9.72
1000,zlib,0.0153223,205338,-0.0019975,-14.99,0.00177517,2,-0.00010819,-6.49,0.00188318,2,-0.00046015,-32.34,0.00169264,2,-1.93E-05,-1.15,0.00220986,1442,0.00012263,5.26,0.00186177,2,-0.00029228,-18.62,0.00187587,2,-0.00053513,-39.91,0.00491079,40994,-0.00126396,-34.66,0.01133294,205338,2.27E-05,0.2,-11.82
1000,zstd,0.0190402,205338,-0.0057154,-42.89,0.00268674,2,-0.00101976,-61.17,0.00255566,2,-0.00113263,-79.59,0.00264169,2,-0.00096836,-57.87,0.00309814,1442,-0.00076565,-32.83,0.00238186,2,-0.00081237,-51.76,0.00261373,2,-0.00127299,-94.95,0.00576769,40994,-0.00212086,-58.16,0.01023063,205338,0.00112498,9.91,-33.09
2000,none,0.0207371,417338,0,0,0.00199399,2,0,0,0.0017315,2,0,0,0.00170619,2,0,0,0.00230423,3562,0,0,0.00192336,2,0,0,0.00188987,2,0,0,0.00904651,252994,0,0,0.01499403,417338,0,0,0
2000,snappy,0.015673,417338,0.0050641,24.42,0.0020124,2,-1.84E-05,-0.92,0.00188865,2,-0.00015715,-9.08,0.00191556,2,-0.00020937,-12.27,0.00252792,3562,-0.00022369,-9.71,0.00194038,2,-1.70E-05,-0.88,0.00198794,2,-9.81E-05,-5.19,0.00825949,252994,0.00078702,8.7,0.01390536,417338,0.00108867,7.26,11.04
2000,zlib,0.0229966,417338,-0.0022595,-10.9,0.00207888,2,-8.49E-05,-4.26,0.00218161,2,-0.00045011,-26,0.00197582,2,-0.00026963,-15.8,0.00294654,3562,-0.00064231,-27.88,0.0021538,2,-0.00023044,-11.98,0.00216796,2,-0.00027809,-14.71,0.01170105,252994,-0.00265454,-29.34,0.01770532,417338,-0.00271129,-18.08,-17.01
2000,zstd,0.0164935,417338,0.0042436,20.46,0.00302654,2,-0.00103255,-51.78,0.00288527,2,-0.00115377,-66.63,0.00286649,2,-0.0011603,-68.01,0.00362685,3562,-0.00132262,-57.4,0.00293205,2,-0.00100869,-52.44,0.00299875,2,-0.00110888,-58.67,0.01007784,252994,-0.00103133,-11.4,0.01659015,417338,-0.00159612,-10.65,-9.18
5000,none,0.0470947,1053338,0,0,0.00367375,2,0,0,0.00332894,2,0,0,0.0031732,2,0,0,0.00489484,9922,0,0,0.00289774,2,0,0,0.00313438,2,0,0,0.02757204,888994,0,0,0.04758835,1053338,0,0,0
5000,snappy,0.0459968,1053338,0.0010979,2.33,0.00359437,2,7.94E-05,2.16,0.00358432,2,-0.00025538,-7.67,0.00333681,2,-0.00016361,-5.16,0.00504178,9922,-0.00014694,-3,0.00329286,2,-0.00039512,-13.64,0.00354705,2,-0.00041267,-13.17,0.02285938,888994,0.00471266,17.09,0.03582812,1053338,0.01176023,24.71,11.35
